,concurso,first,sec,thi,for,fif,six,labels_first,labels_sec,labels_thi,labels_for,labels_fif,labels_six
135,7.61085279039525,0.6931471805599453,3.828641396489095,4.04305126783455,4.0943445622221,3.871201010907891,3.58351893845611,17,18,10,3,15,18
136,7.610357618312838,3.713572066704308,3.828641396489095,3.9889840465642745,4.07753744390572,3.1354942159291497,3.9512437185814275,0,5,5,4,11,3
137,7.609862200913554,4.007333185232471,2.3978952727983707,3.295836866004329,3.091042453358316,3.2188758248682006,4.07753744390572,1,1,0,6,1,1
138,7.6093665379542115,4.02535169073515,2.302585092994046,2.3978952727983707,0.6931471805599453,3.6375861597263857,3.1780538303479458,1,1,0,6,1,1
139,7.60887062919126,2.3978952727983707,2.833213344056216,3.871201010907891,2.8903717578961645,1.3862943611198906,3.044522437723423,2,4,3,1,2,9
140,7.608374474380783,2.8903717578961645,4.060443010546419,3.4657359027997265,3.6635616461296463,3.295836866004329,2.833213344056216,6,0,7,0,7,5
141,7.607878073278507,3.828641396489095,3.4657359027997265,2.772588722239781,4.02535169073515,3.6888794541139363,3.970291913552122,1,1,0,6,1,1
142,7.607381425639791,1.791759469228055,3.58351893845611,3.970291913552122,3.4011973816621555,4.02535169073515,3.1354942159291497,14,7,1,7,10,12
143,7.60688453121963,2.3978952727983707,3.9318256327243257,3.58351893845611,2.0794415416798357,3.5553480614894135,3.295836866004329,2,4,3,1,2,9
144,7.606387389772652,3.332204510175204,3.5553480614894135,4.060443010546419,3.9889840465642745,0.6931471805599453,3.4657359027997265,10,6,8,5,0,2
145,7.605890001053122,2.8903717578961645,4.02535169073515,2.0794415416798357,3.5263605246161616,3.6635616461296463,2.302585092994046,9,16,12,8,12,8
146,7.605392364814935,0.0,3.871201010907891,3.912023005428146,3.784189633918261,3.6109179126442243,3.828641396489095,11,19,15,20,3,14
147,7.60489448081162,3.295836866004329,3.091042453358316,4.060443010546419,3.4965075614664802,4.07753744390572,3.7376696182833684,10,6,8,5,0,2
148,7.604396348796338,3.713572066704308,2.6390573296152584,3.9889840465642745,1.3862943611198906,3.6635616461296463,4.060443010546419,0,5,5,4,11,3
149,7.603897968521881,2.995732273553991,2.1972245773362196,0.0,2.6390573296152584,3.9889840465642745,3.2188758248682006,19,15,19,19,19,19
150,7.60339933974067,3.091042453358316,2.9444389791664403,3.4965075614664802,2.3978952727983707,3.970291913552122,3.5263605246161616,10,6,8,5,0,2
151,7.602900462204755,3.8066624897703196,3.5553480614894135,0.0,3.1354942159291497,1.6094379124341003,2.6390573296152584,12,17,4,11,6,4
152,7.602401335665818,3.6888794541139363,3.912023005428146,3.7612001156935624,3.332204510175204,3.9318256327243257,3.5263605246161616,0,5,5,4,11,3
153,7.601901959875166,4.07753744390572,3.828641396489095,3.332204510175204,3.6375861597263857,1.3862943611198906,3.4011973816621555,1,1,0,6,1,1
154,7.601402334583733,3.091042453358316,2.995732273553991,3.9512437185814275,4.0943445622221,3.7376696182833684,3.58351893845611,10,6,8,5,0,2
155,7.600902459542082,1.791759469228055,3.6109179126442243,3.5263605246161616,2.302585092994046,1.0986122886681098,2.833213344056216,14,7,1,7,10,12
156,7.6004023345004,3.7376696182833684,3.6375861597263857,3.8918202981106265,2.70805020110221,3.912023005428146,3.6109179126442243,1,1,0,6,1,1
157,7.599901959208498,4.04305126783455,3.044522437723423,3.1780538303479458,3.9512437185814275,3.2188758248682006,2.0794415416798357,1,1,0,6,1,1
158,7.599401333415815,2.6390573296152584,1.9459101490553132,3.5553480614894135,0.0,3.4339872044851463,3.828641396489095,6,0,7,0,7,5
159,7.59890045687141,4.02535169073515,3.044522437723423,2.995732273553991,1.9459101490553132,3.6888794541139363,3.1780538303479458,1,1,0,6,1,1
160,7.598399329323964,2.6390573296152584,3.6109179126442243,3.6635616461296463,3.258096538021482,3.5553480614894135,3.367295829986474,6,0,7,0,7,5
161,7.597897950521784,3.784189633918261,1.6094379124341003,3.4657359027997265,0.6931471805599453,2.4849066497880004,3.6888794541139363,1,1,0,6,1,1
162,7.597396320212795,3.912023005428146,4.04305126783455,3.871201010907891,2.833213344056216,1.791759469228055,3.4965075614664802,1,1,0,6,1,1
163,7.596894438144544,3.044522437723423,2.3978952727983707,2.5649493574615367,3.970291913552122,3.9889840465642745,1.6094379124341003,9,16,12,8,12,8
164,7.596392304064196,2.9444389791664403,3.5263605246161616,3.784189633918261,3.58351893845611,2.995732273553991,3.332204510175204,6,0,7,0,7,5
165,7.595889917718538,3.6109179126442243,3.258096538021482,2.3978952727983707,3.1780538303479458,4.07753744390572,3.5263605246161616,0,5,5,4,11,3
166,7.5953872788539725,3.6888794541139363,4.060443010546419,3.4011973816621555,3.4657359027997265,2.70805020110221,3.091042453358316,0,5,5,4,11,3
167,7.59488438721652,1.6094379124341003,3.6635616461296463,2.302585092994046,3.9889840465642745,3.828641396489095,3.7376696182833684,15,20,18,12,18,17
168,7.594381242551817,2.302585092994046,4.060443010546419,2.6390573296152584,3.8066624897703196,3.4339872044851463,3.5263605246161616,8,3,6,15,9,10
169,7.593877844605118,4.007333185232471,3.1354942159291497,3.784189633918261,3.7612001156935624,3.58351893845611,4.02535169073515,1,1,0,6,1,1
170,7.59337419312129,2.1972245773362196,3.58351893845611,3.367295829986474,3.332204510175204,3.5263605246161616,4.007333185232471,2,4,3,1,2,9
171,7.592870287844818,3.7612001156935624,3.4657359027997265,3.044522437723423,3.912023005428146,3.5553480614894135,3.367295829986474,1,1,0,6,1,1
172,7.592366128519796,2.6390573296152584,3.091042453358316,1.791759469228055,1.6094379124341003,2.302585092994046,3.58351893845611,9,16,12,8,12,8
173,7.591861714889934,3.828641396489095,3.1780538303479458,2.995732273553991,1.3862943611198906,3.912023005428146,2.6390573296152584,1,1,0,6,1,1
174,7.591357046698551,2.70805020110221,1.791759469228055,3.6635616461296463,2.9444389791664403,3.6109179126442243,3.970291913552122,6,0,7,0,7,5
175,7.590852123688581,2.8903717578961645,2.772588722239781,2.4849066497880004,3.5263605246161616,3.6109179126442243,2.833213344056216,9,16,12,8,12,8
176,7.590346945602565,3.6375861597263857,3.1354942159291497,3.8066624897703196,3.4657359027997265,3.367295829986474,3.091042453358316,0,5,5,4,11,3
177,7.589841512182657,1.791759469228055,0.6931471805599453,4.04305126783455,3.091042453358316,4.007333185232471,3.784189633918261,18,10,16,16,14,11
